onset	duration	sample	value
1.352	0.001	1352	S  2
2.5	0.001	2500	S 22
3	0.001	3000	S 10
4.4	0.001	4400	S 27
4.8	0.001	4800	S 30
6.2	0.001	6200	S 40
7.033	0.001	7033	S 45
7.633	0.001	7633	S 50
8.25	0.001	8250	S 45
8.85	0.001	8850	S 50
9.6	0.001	9600	S  2
10.7	0.001	10700	S 21
11.2	0.001	11200	S 10
12.6	0.001	12600	S 27
13	0.001	13000	S 30
14.4	0.001	14400	S 40
15.15	0.001	15150	S 45
15.75	0.001	15750	S 50
16.117	0.001	16117	S  2
16.433	0.001	16433	S 45
17.033	0.001	17033	S 50
17.4	0.001	17400	S  2
18.9	0.001	18900	S 22
19.4	0.001	19400	S 10
20.8	0.001	20800	S 27
21.2	0.001	21200	S 30
22.6	0.001	22600	S 40
23.533	0.001	23533	S 45
24.133	0.001	24133	S 50
25.067	0.001	25067	S 50
25.6	0.001	25600	S  2
27.1	0.001	27100	S 22
27.6	0.001	27600	S 10
29	0.001	29000	S 27
29.4	0.001	29400	S 30
30.8	0.001	30800	S 40
31.55	0.001	31550	S 45
32.151	0.001	32151	S 50
32.717	0.001	32717	S  2
33.251	0.001	33251	S 50
33.817	0.001	33817	S  2
35.3	0.001	35300	S 22
35.8	0.001	35800	S 10
37.2	0.001	37200	S 27
37.6	0.001	37600	S 30
39	0.001	39000	S 40
39.634	0.001	39634	S 45
40.234	0.001	40234	S 50
42.166	0.001	42166	S  2
43.5	0.001	43500	S 21
44	0.001	44000	S 10
45.4	0.001	45400	S 27
45.8	0.001	45800	S 30
47.2	0.001	47200	S 40
47.816	0.001	47816	S 45
48.416	0.001	48416	S 50
48.816	0.001	48816	S  2
49.25	0.001	49250	S 45
49.85	0.001	49850	S 50
50.25	0.001	50250	S  2
51.7	0.001	51700	S 21
52.2	0.001	52200	S 10
53.6	0.001	53600	S 27
54	0.001	54000	S 30
55.4	0.001	55400	S 40
55.967	0.001	55967	S 45
56.567	0.001	56567	S 50
58.783	0.001	58783	S  2
59.9	0.001	59900	S 21
60.4	0.001	60400	S 10
61.8	0.001	61800	S 27
62.2	0.001	62200	S 30
63.6	0.001	63600	S 40
64.35	0.001	64350	S 45
64.95	0.001	64950	S 50
65.35	0.001	65350	S  2
65.784	0.001	65784	S 45
66.384	0.001	66384	S 50
66.784	0.001	66784	S  2
68.1	0.001	68100	S 21
68.6	0.001	68600	S 10
70	0.001	70000	S 27
70.4	0.001	70400	S 30
71.8	0.001	71800	S 40
72.634	0.001	72634	S 45
73.234	0.001	73234	S 50
73.834	0.001	73834	S 45
74.434	0.001	74434	S 50
75.117	0.001	75117	S  2
76.3	0.001	76300	S 22
76.8	0.001	76800	S 10
78.2	0.001	78200	S 27
78.6	0.001	78600	S 30
80	0.001	80000	S 40
80.717	0.001	80717	S 45
81.317	0.001	81317	S 50
81.867	0.001	81867	S  2
82.234	0.001	82234	S 45
82.834	0.001	82834	S 50
83.384	0.001	83384	S  2
84.5	0.001	84500	S 21
85	0.001	85000	S 10
86.4	0.001	86400	S 27
86.8	0.001	86800	S 30
88.2	0.001	88200	S 40
88.784	0.001	88784	S 45
89.384	0.001	89384	S 50
89.834	0.001	89834	S  2
90.417	0.001	90417	S 45
91.017	0.001	91017	S 50
91.467	0.001	91467	S  2
92.7	0.001	92700	S 22
93.2	0.001	93200	S 10
94.6	0.001	94600	S 27
95	0.001	95000	S 30
96.4	0.001	96400	S 40
96.95	0.001	96950	S 45
97.55	0.001	97550	S 50
99.867	0.001	99867	S  2
100.9	0.001	100900	S 21
101.4	0.001	101400	S 10
102.8	0.001	102800	S 27
103.2	0.001	103200	S 30
104.6	0.001	104600	S 40
105.45	0.001	105450	S 45
106.05	0.001	106050	S 50
106.45	0.001	106450	S  2
106.9	0.001	106900	S 45
107.5	0.001	107500	S 50
107.9	0.001	107900	S  2
109.1	0.001	109100	S 21
109.6	0.001	109600	S 10
111	0.001	111000	S 27
111.4	0.001	111400	S 30
112.8	0.001	112800	S 40
113.334	0.001	113334	S 45
113.934	0.001	113934	S 50
114.367	0.001	114367	S  2
115.167	0.001	115167	S 45
115.767	0.001	115767	S 50
116.2	0.001	116200	S  2
117.3	0.001	117300	S 21
117.8	0.001	117800	S 10
119.2	0.001	119200	S 27
119.6	0.001	119600	S 30
121	0.001	121000	S 40
121.55	0.001	121550	S 45
122.15	0.001	122150	S 50
122.5	0.001	122500	S  2
123.367	0.001	123367	S 45
123.967	0.001	123967	S 50
124.317	0.001	124317	S  2
125.5	0.001	125500	S 21
126	0.001	126000	S 10
127.4	0.001	127400	S 27
127.8	0.001	127800	S 30
129.2	0.001	129200	S 40
129.634	0.001	129634	S 45
130.234	0.001	130234	S 50
132.467	0.001	132467	S  2
133.7	0.001	133700	S 21
134.2	0.001	134200	S 10
135.6	0.001	135600	S 27
136	0.001	136000	S 30
137.4	0.001	137400	S 40
137.816	0.001	137816	S 45
138.416	0.001	138416	S 50
138.7	0.001	138700	S  2
139.733	0.001	139733	S 45
140.333	0.001	140333	S 50
140.617	0.001	140617	S  2
141.9	0.001	141900	S 22
142.4	0.001	142400	S 10
143.8	0.001	143800	S 27
144.2	0.001	144200	S 30
145.6	0.001	145600	S 40
146.217	0.001	146217	S 45
146.817	0.001	146817	S 50
147.167	0.001	147167	S  2
147.917	0.001	147917	S 45
148.517	0.001	148517	S 50
148.867	0.001	148867	S  2
150.1	0.001	150100	S 22
150.6	0.001	150600	S 10
152	0.001	152000	S 27
152.4	0.001	152400	S 30
153.8	0.001	153800	S 40
154.367	0.001	154367	S 45
154.967	0.001	154967	S 50
155.283	0.001	155283	S  2
156.267	0.001	156267	S 45
156.867	0.001	156867	S 50
157.183	0.001	157183	S  2
158.3	0.001	158300	S 22
158.8	0.001	158800	S 10
160.2	0.001	160200	S 27
160.6	0.001	160600	S 30
162	0.001	162000	S 40
162.817	0.001	162817	S 45
163.417	0.001	163417	S 50
163.833	0.001	163833	S  2
164.234	0.001	164234	S 45
164.834	0.001	164834	S 50
165.25	0.001	165250	S  2
166.5	0.001	166500	S 22
167	0.001	167000	S 10
168.4	0.001	168400	S 27
168.8	0.001	168800	S 30
170.2	0.001	170200	S 40
171.017	0.001	171017	S 45
171.617	0.001	171617	S 50
172.45	0.001	172450	S 45
173.05	0.001	173050	S 50
173.65	0.001	173650	S  2
174.7	0.001	174700	S 21
175.2	0.001	175200	S 10
176.6	0.001	176600	S 27
177	0.001	177000	S 30
178.4	0.001	178400	S 40
179	0.001	179000	S 45
179.6	0.001	179600	S 50
179.933	0.001	179933	S  2
180.617	0.001	180617	S 45
181.217	0.001	181217	S 50
181.55	0.001	181550	S  2
182.9	0.001	182900	S 21
183.4	0.001	183400	S 10
184.8	0.001	184800	S 27
185.2	0.001	185200	S 30
186.6	0.001	186600	S 40
187.084	0.001	187084	S 45
187.684	0.001	187684	S 50
187.967	0.001	187967	S  2
188.967	0.001	188967	S 45
189.567	0.001	189567	S 50
189.85	0.001	189850	S  2
191.1	0.001	191100	S 21
191.6	0.001	191600	S 10
193	0.001	193000	S 27
193.4	0.001	193400	S 30
194.8	0.001	194800	S 40
195.433	0.001	195433	S 45
196.033	0.001	196033	S 50
197.8	0.001	197800	S  2
199.3	0.001	199300	S 22
199.8	0.001	199800	S 10
