onset	duration	sample	value
1.105	0.001	1105	S  2
2.5	0.001	2500	S 21
3	0.001	3000	S 10
4.4	0.001	4400	S 27
4.8	0.001	4800	S 30
6.199	0.001	6199	S 40
7.116	0.001	7116	S 45
7.716	0.001	7716	S 50
9.6	0.001	9600	S  2
10.7	0.001	10700	S 21
11.2	0.001	11200	S 10
12.6	0.001	12600	S 27
13	0.001	13000	S 30
14.4	0.001	14400	S 40
14.95	0.001	14950	S 45
15.55	0.001	15550	S 50
17.55	0.001	17550	S  2
18.9	0.001	18900	S 21
19.4	0.001	19400	S 10
20.8	0.001	20800	S 27
21.2	0.001	21200	S 30
22.6	0.001	22600	S 40
23.25	0.001	23250	S 45
23.85	0.001	23850	S 50
24.9	0.001	24900	S 50
25.85	0.001	25850	S  2
27.1	0.001	27100	S 21
27.6	0.001	27600	S 10
29	0.001	29000	S 27
29.4	0.001	29400	S 30
30.8	0.001	30800	S 40
31.734	0.001	31734	S 45
32.334	0.001	32334	S 50
32.85	0.001	32850	S 50
34.267	0.001	34267	S  2
35.3	0.001	35300	S 22
35.8	0.001	35800	S 10
37.2	0.001	37200	S 27
37.6	0.001	37600	S 30
39	0.001	39000	S 40
39.633	0.001	39633	S 45
40.233	0.001	40233	S 50
41.017	0.001	41017	S 50
42.25	0.001	42250	S  2
43.5	0.001	43500	S 22
44	0.001	44000	S 10
45.4	0.001	45400	S 27
45.8	0.001	45800	S 30
47.2	0.001	47200	S 40
49.233	0.001	49233	S 50
50.55	0.001	50550	S  2
51.7	0.001	51700	S 21
52.2	0.001	52200	S 10
53.6	0.001	53600	S 27
54	0.001	54000	S 30
55.4	0.001	55400	S 40
56.2	0.001	56200	S 45
56.8	0.001	56800	S 50
57.634	0.001	57634	S 50
58.85	0.001	58850	S  2
59.9	0.001	59900	S 21
60.4	0.001	60400	S 10
61.8	0.001	61800	S 27
62.2	0.001	62200	S 30
63.6	0.001	63600	S 40
64.184	0.001	64184	S 45
64.784	0.001	64784	S 50
66.15	0.001	66150	S 50
67.016	0.001	67016	S  2
68.1	0.001	68100	S 22
68.6	0.001	68600	S 10
