onset	duration	sample	value
1.504	0.001	1504	S  2
2.5	0.001	2500	S 22
2.999	0.001	2999	S 10
4.398	0.001	4398	S 27
4.799	0.001	4799	S 30
6.198	0.001	6198	S 40
7.715	0.001	7715	S 45
8.333	0.001	8333	S 50
9.233	0.001	9233	S  2
10.7	0.001	10700	S 22
11.2	0.001	11200	S 10
12.6	0.001	12600	S 27
13	0.001	13000	S 30
14.4	0.001	14400	S 40
15.366	0.001	15366	S 45
15.966	0.001	15966	S 50
17.666	0.001	17666	S  2
18.9	0.001	18900	S 21
19.399	0.001	19399	S 10
20.799	0.001	20799	S 27
21.199	0.001	21199	S 30
22.599	0.001	22599	S 40
23.316	0.001	23316	S 45
23.916	0.001	23916	S 50
25.65	0.001	25650	S  2
27.1	0.001	27100	S 21
27.6	0.001	27600	S 10
29	0.001	29000	S 27
29.4	0.001	29400	S 30
30.8	0.001	30800	S 40
31.983	0.001	31983	S 45
32.583	0.001	32583	S 50
33.883	0.001	33883	S  2
35.3	0.001	35300	S 22
35.8	0.001	35800	S 10
37.2	0.001	37200	S 27
37.6	0.001	37600	S 30
39	0.001	39000	S 40
40.45	0.001	40450	S 45
41.75	0.001	41750	S 45
42.35	0.001	42350	S 50
42.466	0.001	42466	S  2
43.5	0.001	43500	S 22
44	0.001	44000	S 10
45.4	0.001	45400	S 27
45.8	0.001	45800	S 30
47.2	0.001	47200	S 40
49.183	0.001	49183	S 45
49.467	0.001	49467	S 50
50.317	0.001	50317	S  2
51.7	0.001	51700	S 22
52.2	0.001	52200	S 10
53.6	0.001	53600	S 27
54	0.001	54000	S 30
55.4	0.001	55400	S 40
56.6	0.001	56600	S 45
57.2	0.001	57200	S 50
57.5	0.001	57500	S 45
58.1	0.001	58100	S 50
58.467	0.001	58467	S  2
59.9	0.001	59900	S 21
60.4	0.001	60400	S 10
61.8	0.001	61800	S 27
62.2	0.001	62200	S 30
63.6	0.001	63600	S 40
64.534	0.001	64534	S 45
65.134	0.001	65134	S 50
65.8	0.001	65800	S 50
66.9	0.001	66900	S  2
68.1	0.001	68100	S 22
68.6	0.001	68600	S 10
70	0.001	70000	S 27
70.4	0.001	70400	S 30
71.8	0.001	71800	S 40
72.85	0.001	72850	S 45
73.45	0.001	73450	S 50
74	0.001	74000	S 45
74.6	0.001	74600	S 50
75.183	0.001	75183	S  2
76.3	0.001	76300	S 22
76.8	0.001	76800	S 10
78.2	0.001	78200	S 27
78.6	0.001	78600	S 30
80	0.001	80000	S 40
80.866	0.001	80866	S 45
81.466	0.001	81466	S 50
82.433	0.001	82433	S 50
83.3	0.001	83300	S  2
84.5	0.001	84500	S 22
85	0.001	85000	S 10
86.4	0.001	86400	S 27
86.8	0.001	86800	S 30
88.2	0.001	88200	S 40
89.016	0.001	89016	S 45
89.616	0.001	89616	S 50
90.6	0.001	90600	S 50
91.617	0.001	91617	S  2
92.7	0.001	92700	S 22
93.2	0.001	93200	S 10
94.6	0.001	94600	S 27
95	0.001	95000	S 30
96.4	0.001	96400	S 40
96.984	0.001	96984	S 45
97.584	0.001	97584	S 50
97.9	0.001	97900	S  2
98.75	0.001	98750	S 45
99.35	0.001	99350	S 50
99.666	0.001	99666	S  2
100.9	0.001	100900	S 22
101.4	0.001	101400	S 10
102.8	0.001	102800	S 27
103.2	0.001	103200	S 30
104.6	0.001	104600	S 40
105.316	0.001	105316	S 45
105.916	0.001	105916	S 50
106.2	0.001	106200	S  2
107.116	0.001	107116	S 45
107.716	0.001	107716	S 50
108	0.001	108000	S  2
109.1	0.001	109100	S 21
109.6	0.001	109600	S 10
111	0.001	111000	S 27
111.4	0.001	111400	S 30
112.8	0.001	112800	S 40
113.733	0.001	113733	S 45
114.333	0.001	114333	S 50
115.133	0.001	115133	S 50
116.233	0.001	116233	S  2
117.3	0.001	117300	S 21
117.8	0.001	117800	S 10
119.2	0.001	119200	S 27
119.6	0.001	119600	S 30
121	0.001	121000	S 40
121.833	0.001	121833	S 45
122.433	0.001	122433	S 50
122.533	0.001	122533	S  2
123.55	0.001	123550	S 45
124.15	0.001	124150	S 50
124.25	0.001	124250	S  2
125.5	0.001	125500	S 21
126	0.001	126000	S 10
127.4	0.001	127400	S 27
127.8	0.001	127800	S 30
129.2	0.001	129200	S 40
129.817	0.001	129817	S 45
130.417	0.001	130417	S 50
131.4	0.001	131400	S 50
132.65	0.001	132650	S  2
133.7	0.001	133700	S 22
134.2	0.001	134200	S 10
135.6	0.001	135600	S 27
136	0.001	136000	S 30
137.4	0.001	137400	S 40
137.883	0.001	137883	S 45
138.483	0.001	138483	S 50
139	0.001	139000	S  2
139.617	0.001	139617	S 45
140.217	0.001	140217	S 50
140.734	0.001	140734	S  2
141.9	0.001	141900	S 22
142.4	0.001	142400	S 10
143.8	0.001	143800	S 27
144.2	0.001	144200	S 30
145.6	0.001	145600	S 40
148.133	0.001	148133	S 50
148.683	0.001	148683	S  2
150.1	0.001	150100	S 21
150.6	0.001	150600	S 10
152	0.001	152000	S 27
152.4	0.001	152400	S 30
153.8	0.001	153800	S 40
155.383	0.001	155383	S 45
156.583	0.001	156583	S 45
157.183	0.001	157183	S 50
157.283	0.001	157283	S  2
158.3	0.001	158300	S 22
158.8	0.001	158800	S 10
160.2	0.001	160200	S 27
160.6	0.001	160600	S 30
162	0.001	162000	S 40
163.117	0.001	163117	S 45
163.717	0.001	163717	S 50
163.867	0.001	163867	S  2
164.534	0.001	164534	S 45
165.134	0.001	165134	S 50
165.284	0.001	165284	S  2
166.5	0.001	166500	S 21
167	0.001	167000	S 10
168.4	0.001	168400	S 27
168.8	0.001	168800	S 30
170.2	0.001	170200	S 40
171.4	0.001	171400	S 45
172	0.001	172000	S 50
172.034	0.001	172034	S  2
173.033	0.001	173033	S 45
173.633	0.001	173633	S 50
173.667	0.001	173667	S  2
174.7	0.001	174700	S 21
175.2	0.001	175200	S 10
176.6	0.001	176600	S 27
177	0.001	177000	S 30
178.4	0.001	178400	S 40
179.55	0.001	179550	S 45
180.15	0.001	180150	S 50
181.5	0.001	181500	S  2
182.9	0.001	182900	S 21
183.4	0.001	183400	S 10
184.8	0.001	184800	S 27
185.2	0.001	185200	S 30
186.6	0.001	186600	S 40
187.616	0.001	187616	S 45
188.216	0.001	188216	S 50
189.05	0.001	189050	S 50
189.967	0.001	189967	S  2
191.1	0.001	191100	S 22
191.6	0.001	191600	S 10
193	0.001	193000	S 27
193.4	0.001	193400	S 30
194.8	0.001	194800	S 40
195.384	0.001	195384	S 45
195.984	0.001	195984	S 50
198.25	0.001	198250	S  2
199.3	0.001	199300	S 21
199.8	0.001	199800	S 10
201.2	0.001	201200	S 27
201.6	0.001	201600	S 30
203	0.001	203000	S 40
204.216	0.001	204216	S 45
204.816	0.001	204816	S 50
205.433	0.001	205433	S 45
206.033	0.001	206033	S 50
206.366	0.001	206366	S  2
207.5	0.001	207500	S 22
208	0.001	208000	S 10
209.4	0.001	209400	S 27
209.8	0.001	209800	S 30
211.2	0.001	211200	S 40
212.166	0.001	212166	S 45
212.766	0.001	212766	S 50
214.283	0.001	214283	S  2
215.7	0.001	215700	S 21
216.2	0.001	216200	S 10
217.6	0.001	217600	S 27
218	0.001	218000	S 30
219.4	0.001	219400	S 40
221.183	0.001	221183	S 45
222.417	0.001	222417	S  2
223.9	0.001	223900	S 22
224.4	0.001	224400	S 10
225.8	0.001	225800	S 27
226.2	0.001	226200	S 30
227.6	0.001	227600	S 40
228.567	0.001	228567	S 45
229.167	0.001	229167	S 50
230.783	0.001	230783	S  2
232.1	0.001	232100	S 21
232.6	0.001	232600	S 10
234	0.001	234000	S 27
234.4	0.001	234400	S 30
235.8	0.001	235800	S 40
236.466	0.001	236466	S 45
237.066	0.001	237066	S 50
238.049	0.001	238049	S 50
238.883	0.001	238883	S  2
240.3	0.001	240300	S 22
240.799	0.001	240799	S 10
242.199	0.001	242199	S 27
242.599	0.001	242599	S 30
243.999	0.001	243999	S 40
244.949	0.001	244949	S 45
245.549	0.001	245549	S 50
245.983	0.001	245983	S  2
246.049	0.001	246049	S 45
246.649	0.001	246649	S 50
247.083	0.001	247083	S  2
248.5	0.001	248500	S 21
248.999	0.001	248999	S 10
250.399	0.001	250399	S 27
250.799	0.001	250799	S 30
252.199	0.001	252199	S 40
253.799	0.001	253799	S 45
255.234	0.001	255234	S  2
256.7	0.001	256700	S 21
257.2	0.001	257200	S 10
258.6	0.001	258600	S 27
259	0.001	259000	S 30
260.4	0.001	260400	S 40
261.084	0.001	261084	S 45
261.684	0.001	261684	S 50
263.567	0.001	263567	S  2
264.9	0.001	264900	S 21
265.4	0.001	265400	S 10
266.8	0.001	266800	S 27
267.2	0.001	267200	S 30
268.6	0.001	268600	S 40
269.9	0.001	269900	S 45
270.5	0.001	270500	S 50
270.633	0.001	270633	S 50
271.816	0.001	271816	S  2
273.1	0.001	273100	S 21
273.6	0.001	273600	S 10
275	0.001	275000	S 27
275.4	0.001	275400	S 30
276.8	0.001	276800	S 40
277.466	0.001	277466	S 45
278.066	0.001	278066	S 50
279	0.001	279000	S 50
279.817	0.001	279817	S  2
281.3	0.001	281300	S 21
281.8	0.001	281800	S 10
283.2	0.001	283200	S 27
283.6	0.001	283600	S 30
285	0.001	285000	S 40
285.767	0.001	285767	S 45
286.367	0.001	286367	S 50
287.333	0.001	287333	S 50
288.016	0.001	288016	S  2
289.5	0.001	289500	S 22
290	0.001	290000	S 10
291.4	0.001	291400	S 27
291.8	0.001	291800	S 30
293.2	0.001	293200	S 40
293.833	0.001	293833	S 45
294.433	0.001	294433	S 50
295.133	0.001	295133	S  2
295.533	0.001	295533	S 50
296.233	0.001	296233	S  2
297.7	0.001	297700	S 22
298.2	0.001	298200	S 10
299.6	0.001	299600	S 27
300	0.001	300000	S 30
301.4	0.001	301400	S 40
302.266	0.001	302266	S 45
302.866	0.001	302866	S 50
303.533	0.001	303533	S 50
304.533	0.001	304533	S  2
305.9	0.001	305900	S 22
306.4	0.001	306400	S 10
307.8	0.001	307800	S 27
308.2	0.001	308200	S 30
309.6	0.001	309600	S 40
310.666	0.001	310666	S 45
311.267	0.001	311267	S 50
312.917	0.001	312917	S  2
314.1	0.001	314100	S 21
314.6	0.001	314600	S 10
316	0.001	316000	S 27
316.4	0.001	316400	S 30
317.8	0.001	317800	S 40
318.634	0.001	318634	S 45
319.234	0.001	319234	S 50
319.8	0.001	319800	S 45
320.4	0.001	320400	S 50
321.216	0.001	321216	S  2
322.3	0.001	322300	S 21
322.8	0.001	322800	S 10
324.2	0.001	324200	S 27
324.6	0.001	324600	S 30
326	0.001	326000	S 40
326.583	0.001	326583	S 45
327.183	0.001	327183	S 50
327.616	0.001	327616	S  2
328	0.001	328000	S 45
328.6	0.001	328600	S 50
329.033	0.001	329033	S  2
330.5	0.001	330500	S 21
331	0.001	331000	S 10
332.4	0.001	332400	S 27
332.8	0.001	332800	S 30
334.2	0.001	334200	S 40
334.75	0.001	334750	S 45
335.35	0.001	335350	S 50
336.45	0.001	336450	S 50
337.45	0.001	337450	S  2
338.7	0.001	338700	S 22
339.2	0.001	339200	S 10
340.6	0.001	340600	S 27
341	0.001	341000	S 30
342.4	0.001	342400	S 40
343.017	0.001	343017	S 45
343.617	0.001	343617	S 50
344.4	0.001	344400	S  2
344.834	0.001	344834	S 50
345.617	0.001	345617	S  2
346.9	0.001	346900	S 21
347.4	0.001	347400	S 10
348.8	0.001	348800	S 27
349.2	0.001	349200	S 30
350.6	0.001	350600	S 40
351.2	0.001	351200	S 45
351.8	0.001	351800	S 50
352.584	0.001	352584	S  2
352.816	0.001	352816	S 50
353.6	0.001	353600	S  2
355.1	0.001	355100	S 22
355.6	0.001	355600	S 10
357	0.001	357000	S 27
357.4	0.001	357400	S 30
358.8	0.001	358800	S 40
359.5	0.001	359500	S 45
360.1	0.001	360100	S 50
360.799	0.001	360799	S  2
361.3	0.001	361300	S 50
361.999	0.001	361999	S  2
363.3	0.001	363300	S 22
363.799	0.001	363799	S 10
365.2	0.001	365200	S 27
365.599	0.001	365599	S 30
366.999	0.001	366999	S 40
367.683	0.001	367683	S 45
368.283	0.001	368283	S 50
370.433	0.001	370433	S  2
371.5	0.001	371500	S 22
372	0.001	372000	S 10
373.4	0.001	373400	S 27
373.8	0.001	373800	S 30
375.2	0.001	375200	S 40
375.983	0.001	375983	S 45
376.583	0.001	376583	S 50
377.45	0.001	377450	S 50
378.25	0.001	378250	S  2
379.7	0.001	379700	S 21
380.2	0.001	380200	S 10
381.6	0.001	381600	S 27
382	0.001	382000	S 30
383.4	0.001	383400	S 40
384.133	0.001	384133	S 45
384.733	0.001	384733	S 50
385.416	0.001	385416	S 50
386.816	0.001	386816	S  2
387.9	0.001	387900	S 21
388.4	0.001	388400	S 10
389.8	0.001	389800	S 27
390.2	0.001	390200	S 30
391.6	0.001	391600	S 40
392.9	0.001	392900	S 45
393.5	0.001	393500	S 50
395.05	0.001	395050	S  2
396.1	0.001	396100	S 22
396.6	0.001	396600	S 10
398	0.001	398000	S 27
398.4	0.001	398400	S 30
399.8	0.001	399800	S 40
400.3	0.001	400300	S 45
400.9	0.001	400900	S 50
402.05	0.001	402050	S 50
402.966	0.001	402966	S  2
404.3	0.001	404300	S 21
404.8	0.001	404800	S 10
406.2	0.001	406200	S 27
406.6	0.001	406600	S 30
408	0.001	408000	S 40
408.866	0.001	408866	S 45
409.466	0.001	409466	S 50
410.483	0.001	410483	S 50
411.317	0.001	411317	S  2
412.5	0.001	412500	S 22
413	0.001	413000	S 10
414.4	0.001	414400	S 27
414.8	0.001	414800	S 30
416.2	0.001	416200	S 40
416.7	0.001	416700	S 45
417.3	0.001	417300	S 50
418.05	0.001	418050	S  2
418.45	0.001	418450	S 50
419.2	0.001	419200	S  2
420.7	0.001	420700	S 22
421.2	0.001	421200	S 10
422.6	0.001	422600	S 27
423	0.001	423000	S 30
