onset	duration	sample	value
1.073	0.001	1073	S  1
2.5	0.001	2500	S 12
3.001	0.001	3001	S 10
4.4	0.001	4400	S 26
4.8	0.001	4800	S 30
6.2	0.001	6200	S 40
6.8	0.001	6800	S 45
7.4	0.001	7400	S 50
9.483	0.001	9483	S  1
10.7	0.001	10700	S 12
11.2	0.001	11200	S 10
12.6	0.001	12600	S 26
13	0.001	13000	S 30
14.4	0.001	14400	S 40
16.3	0.001	16300	S 45
17.65	0.001	17650	S  1
18.9	0.001	18900	S 11
19.4	0.001	19400	S 10
20.8	0.001	20800	S 26
21.2	0.001	21200	S 30
22.6	0.001	22600	S 40
25.817	0.001	25817	S  1
27.1	0.001	27100	S 12
27.6	0.001	27600	S 10
29	0.001	29000	S 26
29.4	0.001	29400	S 30
30.8	0.001	30800	S 40
31.883	0.001	31883	S 45
32.483	0.001	32483	S 50
34.183	0.001	34183	S  1
35.3	0.001	35300	S 12
35.8	0.001	35800	S 10
37.2	0.001	37200	S 26
37.6	0.001	37600	S 30
39	0.001	39000	S 40
40.55	0.001	40550	S 45
42.1	0.001	42100	S  1
43.5	0.001	43500	S 12
44	0.001	44000	S 10
45.4	0.001	45400	S 26
45.8	0.001	45800	S 30
47.2	0.001	47200	S 40
48.55	0.001	48550	S 45
49.15	0.001	49150	S 50
50.234	0.001	50234	S  1
51.7	0.001	51700	S 12
52.2	0.001	52200	S 10
53.6	0.001	53600	S 26
54	0.001	54000	S 30
55.4	0.001	55400	S 40
57.167	0.001	57167	S 45
58.434	0.001	58434	S  1
59.9	0.001	59900	S 11
60.4	0.001	60400	S 10
61.8	0.001	61800	S 26
62.2	0.001	62200	S 30
63.6	0.001	63600	S 40
66.65	0.001	66650	S  1
68.1	0.001	68100	S 11
68.6	0.001	68600	S 10
70	0.001	70000	S 26
70.4	0.001	70400	S 30
71.8	0.001	71800	S 40
72.466	0.001	72466	S 45
73.066	0.001	73066	S 50
75.017	0.001	75017	S  1
76.3	0.001	76300	S 11
76.8	0.001	76800	S 10
78.2	0.001	78200	S 26
78.6	0.001	78600	S 30
80	0.001	80000	S 40
80.9	0.001	80900	S 45
81.5	0.001	81500	S 50
83.25	0.001	83250	S  1
84.5	0.001	84500	S 12
85	0.001	85000	S 10
86.4	0.001	86400	S 26
86.8	0.001	86800	S 30
88.2	0.001	88200	S 40
89.366	0.001	89366	S 45
89.966	0.001	89966	S 50
91.6	0.001	91600	S  1
92.7	0.001	92700	S 12
93.2	0.001	93200	S 10
94.6	0.001	94600	S 26
95	0.001	95000	S 30
96.4	0.001	96400	S 40
97.734	0.001	97734	S 45
98.334	0.001	98334	S 50
99.767	0.001	99767	S  1
100.9	0.001	100900	S 11
101.4	0.001	101400	S 10
102.8	0.001	102800	S 26
103.2	0.001	103200	S 30
104.6	0.001	104600	S 40
105.467	0.001	105467	S 45
106.067	0.001	106067	S 50
107.716	0.001	107716	S  1
109.1	0.001	109100	S 11
109.6	0.001	109600	S 10
111	0.001	111000	S 26
111.4	0.001	111400	S 30
112.8	0.001	112800	S 40
113.816	0.001	113816	S 45
114.416	0.001	114416	S 50
116.049	0.001	116049	S  1
117.3	0.001	117300	S 12
117.8	0.001	117800	S 10
119.2	0.001	119200	S 26
119.599	0.001	119599	S 30
121	0.001	121000	S 40
121.633	0.001	121633	S 45
122.233	0.001	122233	S 50
124.117	0.001	124117	S  1
125.5	0.001	125500	S 12
126	0.001	126000	S 10
127.4	0.001	127400	S 26
127.8	0.001	127800	S 30
129.2	0.001	129200	S 40
130.217	0.001	130217	S 45
130.817	0.001	130817	S 50
132.483	0.001	132483	S  1
133.7	0.001	133700	S 11
134.2	0.001	134200	S 10
135.6	0.001	135600	S 26
136	0.001	136000	S 30
137.4	0.001	137400	S 40
138.15	0.001	138150	S 45
138.75	0.001	138750	S 50
140.45	0.001	140450	S  1
141.9	0.001	141900	S 11
142.4	0.001	142400	S 10
143.8	0.001	143800	S 26
