onset	duration	sample	value
1.239	0.001	1239	S  1
2.5	0.001	2500	S 12
3.001	0.001	3001	S 10
4.4	0.001	4400	S 26
4.8	0.001	4800	S 30
6.2	0.001	6200	S 40
6.75	0.001	6750	S 45
7.35	0.001	7350	S 50
9.566	0.001	9566	S  1
10.7	0.001	10700	S 12
11.2	0.001	11200	S 10
12.6	0.001	12600	S 26
13	0.001	13000	S 30
14.4	0.001	14400	S 40
14.966	0.001	14966	S 45
15.566	0.001	15566	S 50
17.6	0.001	17600	S  1
18.9	0.001	18900	S 11
19.4	0.001	19400	S 10
20.8	0.001	20800	S 26
21.2	0.001	21200	S 30
22.6	0.001	22600	S 40
23.2	0.001	23200	S 45
23.8	0.001	23800	S 50
25.983	0.001	25983	S  1
27.1	0.001	27100	S 12
27.6	0.001	27600	S 10
29	0.001	29000	S 26
29.4	0.001	29400	S 30
30.8	0.001	30800	S 40
31.316	0.001	31316	S 45
31.916	0.001	31916	S 50
32.567	0.001	32567	S  1
33.166	0.001	33166	S 50
33.817	0.001	33817	S  1
35.3	0.001	35300	S 12
35.8	0.001	35800	S 10
37.2	0.001	37200	S 26
37.6	0.001	37600	S 30
39	0.001	39000	S 40
39.45	0.001	39450	S 45
40.05	0.001	40050	S 50
40.533	0.001	40533	S  1
41.567	0.001	41567	S 50
42.05	0.001	42050	S  1
43.5	0.001	43500	S 11
44	0.001	44000	S 10
45.4	0.001	45400	S 26
45.8	0.001	45800	S 30
47.2	0.001	47200	S 40
49.2	0.001	49200	S 45
50.416	0.001	50416	S  1
51.7	0.001	51700	S 12
52.2	0.001	52200	S 10
53.6	0.001	53600	S 26
54	0.001	54000	S 30
55.4	0.001	55400	S 40
56.4	0.001	56400	S 45
57	0.001	57000	S 50
58.633	0.001	58633	S  1
59.9	0.001	59900	S 11
60.4	0.001	60400	S 10
61.8	0.001	61800	S 26
62.2	0.001	62200	S 30
63.6	0.001	63600	S 40
64.083	0.001	64083	S 45
64.683	0.001	64683	S 50
65.233	0.001	65233	S  1
65.683	0.001	65683	S 45
66.283	0.001	66283	S 50
66.833	0.001	66833	S  1
68.1	0.001	68100	S 11
68.6	0.001	68600	S 10
70	0.001	70000	S 26
70.4	0.001	70400	S 30
71.8	0.001	71800	S 40
72.483	0.001	72483	S 45
73.083	0.001	73083	S 50
74.133	0.001	74133	S 50
75.033	0.001	75033	S  1
76.3	0.001	76300	S 11
76.8	0.001	76800	S 10
78.2	0.001	78200	S 26
78.6	0.001	78600	S 30
80	0.001	80000	S 40
83.166	0.001	83166	S  1
84.5	0.001	84500	S 11
84.999	0.001	84999	S 10
86.399	0.001	86399	S 26
86.799	0.001	86799	S 30
88.199	0.001	88199	S 40
89.116	0.001	89116	S 45
89.716	0.001	89716	S 50
90.199	0.001	90199	S  1
90.45	0.001	90450	S 45
91.05	0.001	91050	S 50
91.533	0.001	91533	S  1
92.7	0.001	92700	S 11
93.2	0.001	93200	S 10
94.6	0.001	94600	S 26
95	0.001	95000	S 30
96.4	0.001	96400	S 40
97.25	0.001	97250	S 45
97.85	0.001	97850	S 50
98.567	0.001	98567	S 45
99.167	0.001	99167	S 50
99.85	0.001	99850	S  1
100.9	0.001	100900	S 12
101.4	0.001	101400	S 10
102.8	0.001	102800	S 26
103.2	0.001	103200	S 30
104.6	0.001	104600	S 40
105.1	0.001	105100	S 45
105.7	0.001	105700	S 50
106.733	0.001	106733	S 50
107.7	0.001	107700	S  1
109.1	0.001	109100	S 11
109.6	0.001	109600	S 10
111	0.001	111000	S 26
111.4	0.001	111400	S 30
112.8	0.001	112800	S 40
113.616	0.001	113616	S 45
114.216	0.001	114216	S 50
114.6	0.001	114600	S  1
115.183	0.001	115183	S 45
115.783	0.001	115783	S 50
116.167	0.001	116167	S  1
117.3	0.001	117300	S 12
117.8	0.001	117800	S 10
119.2	0.001	119200	S 26
119.6	0.001	119600	S 30
121	0.001	121000	S 40
121.467	0.001	121467	S 45
122.067	0.001	122067	S 50
122.4	0.001	122400	S  1
123.184	0.001	123184	S 45
123.784	0.001	123784	S 50
124.117	0.001	124117	S  1
125.5	0.001	125500	S 12
126	0.001	126000	S 10
127.4	0.001	127400	S 26
127.8	0.001	127800	S 30
129.2	0.001	129200	S 40
132.417	0.001	132417	S  1
133.7	0.001	133700	S 12
134.2	0.001	134200	S 10
135.6	0.001	135600	S 26
136	0.001	136000	S 30
137.4	0.001	137400	S 40
138.033	0.001	138033	S 45
138.633	0.001	138633	S 50
138.967	0.001	138967	S  1
139.783	0.001	139783	S 45
140.383	0.001	140383	S 50
140.717	0.001	140717	S  1
141.9	0.001	141900	S 12
142.4	0.001	142400	S 10
143.8	0.001	143800	S 26
144.2	0.001	144200	S 30
145.6	0.001	145600	S 40
146.3	0.001	146300	S 45
146.9	0.001	146900	S 50
148.933	0.001	148933	S  1
150.1	0.001	150100	S 11
150.6	0.001	150600	S 10
152	0.001	152000	S 26
152.4	0.001	152400	S 30
153.8	0.001	153800	S 40
154.166	0.001	154166	S 45
154.766	0.001	154766	S 50
157.25	0.001	157250	S  1
158.3	0.001	158300	S 12
158.8	0.001	158800	S 10
160.2	0.001	160200	S 26
160.6	0.001	160600	S 30
162	0.001	162000	S 40
162.75	0.001	162750	S 45
163.35	0.001	163350	S 50
165.217	0.001	165217	S  1
166.5	0.001	166500	S 12
167	0.001	167000	S 10
168.4	0.001	168400	S 26
168.8	0.001	168800	S 30
170.2	0.001	170200	S 40
170.717	0.001	170717	S 45
171.317	0.001	171317	S 50
171.834	0.001	171834	S  1
172.416	0.001	172416	S 45
173.016	0.001	173016	S 50
173.533	0.001	173533	S  1
174.7	0.001	174700	S 11
175.199	0.001	175199	S 10
176.599	0.001	176599	S 26
176.999	0.001	176999	S 30
178.399	0.001	178399	S 40
178.966	0.001	178966	S 45
179.566	0.001	179566	S 50
180.033	0.001	180033	S  1
180.45	0.001	180450	S 45
181.05	0.001	181050	S 50
181.517	0.001	181517	S  1
182.9	0.001	182900	S 12
183.4	0.001	183400	S 10
184.8	0.001	184800	S 26
185.2	0.001	185200	S 30
186.6	0.001	186600	S 40
187.1	0.001	187100	S 45
187.7	0.001	187700	S 50
188.5	0.001	188500	S  1
189.15	0.001	189150	S 50
189.95	0.001	189950	S  1
191.1	0.001	191100	S 11
191.6	0.001	191600	S 10
193	0.001	193000	S 26
193.4	0.001	193400	S 30
194.8	0.001	194800	S 40
196.05	0.001	196050	S 45
196.65	0.001	196650	S 50
197.383	0.001	197383	S 50
197.8	0.001	197800	S  1
199.3	0.001	199300	S 12
199.8	0.001	199800	S 10
201.2	0.001	201200	S 26
201.6	0.001	201600	S 30
203	0.001	203000	S 40
203.4	0.001	203400	S 45
204	0.001	204000	S 50
204.483	0.001	204483	S  1
205.517	0.001	205517	S 50
206	0.001	206000	S  1
207.5	0.001	207500	S 11
208	0.001	208000	S 10
209.4	0.001	209400	S 26
209.8	0.001	209800	S 30
211.2	0.001	211200	S 40
213.433	0.001	213433	S 45
214.033	0.001	214033	S 50
214.683	0.001	214683	S  1
215.7	0.001	215700	S 12
216.199	0.001	216199	S 10
217.599	0.001	217599	S 26
217.999	0.001	217999	S 30
219.399	0.001	219399	S 40
219.983	0.001	219983	S 45
220.583	0.001	220583	S 50
220.949	0.001	220949	S  1
221.467	0.001	221467	S 45
222.067	0.001	222067	S 50
222.433	0.001	222433	S  1
223.9	0.001	223900	S 12
224.4	0.001	224400	S 10
225.8	0.001	225800	S 26
226.2	0.001	226200	S 30
227.6	0.001	227600	S 40
228.067	0.001	228067	S 45
228.667	0.001	228667	S 50
230.933	0.001	230933	S  1
232.1	0.001	232100	S 11
232.6	0.001	232600	S 10
234	0.001	234000	S 26
234.4	0.001	234400	S 30
235.8	0.001	235800	S 40
236.3	0.001	236300	S 45
236.9	0.001	236900	S 50
237.317	0.001	237317	S  1
238.149	0.001	238149	S 45
238.749	0.001	238749	S 50
239.166	0.001	239166	S  1
240.3	0.001	240300	S 11
240.799	0.001	240799	S 10
242.199	0.001	242199	S 26
242.599	0.001	242599	S 30
243.999	0.001	243999	S 40
245.982	0.001	245982	S 45
246.216	0.001	246216	S 50
247.166	0.001	247166	S  1
248.5	0.001	248500	S 12
249	0.001	249000	S 10
250.4	0.001	250400	S 26
250.8	0.001	250800	S 30
252.2	0.001	252200	S 40
253.133	0.001	253133	S 45
253.733	0.001	253733	S 50
254.016	0.001	254016	S  1
254.783	0.001	254783	S 45
255.383	0.001	255383	S 50
255.666	0.001	255666	S  1
256.7	0.001	256700	S 12
