onset	duration	sample	value
1.423	0.001	1423	S  1
2.5	0.001	2500	S 12
3.001	0.001	3001	S 10
4.4	0.001	4400	S 26
4.8	0.001	4800	S 30
6.2	0.001	6200	S 40
7.167	0.001	7167	S 45
7.767	0.001	7767	S 50
9.55	0.001	9550	S  1
10.7	0.001	10700	S 12
11.2	0.001	11200	S 10
12.6	0.001	12600	S 26
13	0.001	13000	S 30
14.4	0.001	14400	S 40
15.167	0.001	15167	S 45
15.767	0.001	15767	S 50
17.783	0.001	17783	S  1
18.9	0.001	18900	S 12
19.4	0.001	19400	S 10
20.8	0.001	20800	S 26
21.2	0.001	21200	S 30
22.6	0.001	22600	S 40
23.8	0.001	23800	S 45
24.4	0.001	24400	S 50
26.05	0.001	26050	S  1
27.1	0.001	27100	S 11
27.6	0.001	27600	S 10
29	0.001	29000	S 26
29.4	0.001	29400	S 30
30.8	0.001	30800	S 40
31.333	0.001	31333	S 45
31.933	0.001	31933	S 50
33.95	0.001	33950	S  1
35.3	0.001	35300	S 12
35.8	0.001	35800	S 10
37.2	0.001	37200	S 26
37.6	0.001	37600	S 30
39	0.001	39000	S 40
40.133	0.001	40133	S 45
40.733	0.001	40733	S 50
42.433	0.001	42433	S  1
43.5	0.001	43500	S 12
43.999	0.001	43999	S 10
45.4	0.001	45400	S 26
45.8	0.001	45800	S 30
47.2	0.001	47200	S 40
48.183	0.001	48183	S 45
48.783	0.001	48783	S 50
50.483	0.001	50483	S  1
51.7	0.001	51700	S 11
52.2	0.001	52200	S 10
53.6	0.001	53600	S 26
54	0.001	54000	S 30
55.4	0.001	55400	S 40
56.683	0.001	56683	S 45
57.283	0.001	57283	S 50
58.783	0.001	58783	S  1
59.9	0.001	59900	S 11
60.4	0.001	60400	S 10
61.8	0.001	61800	S 26
62.2	0.001	62200	S 30
63.6	0.001	63600	S 40
65.2	0.001	65200	S 45
66.617	0.001	66617	S  1
68.1	0.001	68100	S 11
68.6	0.001	68600	S 10
70	0.001	70000	S 26
70.4	0.001	70400	S 30
71.8	0.001	71800	S 40
72.433	0.001	72433	S 45
73.033	0.001	73033	S 50
75.15	0.001	75150	S  1
76.3	0.001	76300	S 11
76.8	0.001	76800	S 10
78.2	0.001	78200	S 26
78.6	0.001	78600	S 30
80	0.001	80000	S 40
81.017	0.001	81017	S 45
81.617	0.001	81617	S 50
83	0.001	83000	S  1
84.5	0.001	84500	S 11
85	0.001	85000	S 10
86.4	0.001	86400	S 26
86.8	0.001	86800	S 30
88.2	0.001	88200	S 40
89.4	0.001	89400	S 45
90	0.001	90000	S 50
91.35	0.001	91350	S  1
92.7	0.001	92700	S 12
93.2	0.001	93200	S 10
94.6	0.001	94600	S 26
95	0.001	95000	S 30
96.4	0.001	96400	S 40
97.767	0.001	97767	S 45
98.367	0.001	98367	S 50
99.55	0.001	99550	S  1
100.9	0.001	100900	S 11
101.4	0.001	101400	S 10
102.8	0.001	102800	S 26
103.2	0.001	103200	S 30
104.6	0.001	104600	S 40
105.6	0.001	105600	S 45
106.2	0.001	106200	S 50
107.633	0.001	107633	S  1
109.1	0.001	109100	S 11
109.6	0.001	109600	S 10
111	0.001	111000	S 26
111.399	0.001	111399	S 30
112.799	0.001	112799	S 40
114.049	0.001	114049	S 45
114.649	0.001	114649	S 50
115.95	0.001	115950	S  1
117.3	0.001	117300	S 11
117.8	0.001	117800	S 10
119.2	0.001	119200	S 26
119.6	0.001	119600	S 30
121	0.001	121000	S 40
122.55	0.001	122550	S 45
124.083	0.001	124083	S  1
125.5	0.001	125500	S 11
126	0.001	126000	S 10
127.4	0.001	127400	S 26
127.8	0.001	127800	S 30
129.2	0.001	129200	S 40
130.083	0.001	130083	S 45
130.683	0.001	130683	S 50
132.317	0.001	132317	S  1
133.7	0.001	133700	S 12
134.2	0.001	134200	S 10
135.6	0.001	135600	S 26
136	0.001	136000	S 30
137.4	0.001	137400	S 40
139.384	0.001	139384	S 45
140.417	0.001	140417	S  1
141.9	0.001	141900	S 11
142.4	0.001	142400	S 10
143.8	0.001	143800	S 26
144.2	0.001	144200	S 30
145.6	0.001	145600	S 40
146.766	0.001	146766	S 45
147.366	0.001	147366	S 50
148.683	0.001	148683	S  1
150.1	0.001	150100	S 12
150.6	0.001	150600	S 10
152	0.001	152000	S 26
152.4	0.001	152400	S 30
153.8	0.001	153800	S 40
154.816	0.001	154816	S 45
155.416	0.001	155416	S 50
156.95	0.001	156950	S  1
158.3	0.001	158300	S 12
158.8	0.001	158800	S 10
160.2	0.001	160200	S 26
160.6	0.001	160600	S 30
162	0.001	162000	S 40
162.567	0.001	162567	S 45
163.167	0.001	163167	S 50
164	0.001	164000	S  1
164.517	0.001	164517	S 50
165.35	0.001	165350	S  1
166.5	0.001	166500	S 11
167	0.001	167000	S 10
168.4	0.001	168400	S 26
168.8	0.001	168800	S 30
170.2	0.001	170200	S 40
170.767	0.001	170767	S 45
171.367	0.001	171367	S 50
173.216	0.001	173216	S  1
174.7	0.001	174700	S 11
175.2	0.001	175200	S 10
176.6	0.001	176600	S 26
177	0.001	177000	S 30
178.4	0.001	178400	S 40
179.75	0.001	179750	S 45
180.35	0.001	180350	S 50
181.583	0.001	181583	S  1
182.9	0.001	182900	S 12
183.4	0.001	183400	S 10
184.8	0.001	184800	S 26
185.2	0.001	185200	S 30
186.6	0.001	186600	S 40
187.366	0.001	187366	S 45
187.966	0.001	187966	S 50
189.767	0.001	189767	S  1
191.1	0.001	191100	S 12
191.6	0.001	191600	S 10
193	0.001	193000	S 26
193.4	0.001	193400	S 30
194.8	0.001	194800	S 40
195.483	0.001	195483	S 45
196.083	0.001	196083	S 50
197.183	0.001	197183	S 50
198.217	0.001	198217	S  1
199.3	0.001	199300	S 12
199.8	0.001	199800	S 10
201.2	0.001	201200	S 26
201.6	0.001	201600	S 30
203	0.001	203000	S 40
203.617	0.001	203617	S 45
204.217	0.001	204217	S 50
206.467	0.001	206467	S  1
207.5	0.001	207500	S 11
208	0.001	208000	S 10
209.4	0.001	209400	S 26
209.8	0.001	209800	S 30
211.2	0.001	211200	S 40
211.784	0.001	211784	S 45
212.384	0.001	212384	S 50
214.267	0.001	214267	S  1
215.7	0.001	215700	S 11
216.2	0.001	216200	S 10
217.6	0.001	217600	S 26
218	0.001	218000	S 30
219.4	0.001	219400	S 40
220.5	0.001	220500	S 45
221.1	0.001	221100	S 50
222.7	0.001	222700	S  1
223.9	0.001	223900	S 11
224.4	0.001	224400	S 10
225.8	0.001	225800	S 26
226.2	0.001	226200	S 30
227.6	0.001	227600	S 40
228.15	0.001	228150	S 45
228.75	0.001	228750	S 50
229.733	0.001	229733	S 50
230.633	0.001	230633	S  1
232.1	0.001	232100	S 12
232.6	0.001	232600	S 10
234	0.001	234000	S 26
234.4	0.001	234400	S 30
235.8	0.001	235800	S 40
236.833	0.001	236833	S 45
237.433	0.001	237433	S 50
237.85	0.001	237850	S 50
239.083	0.001	239083	S  1
240.3	0.001	240300	S 12
240.8	0.001	240800	S 10
242.2	0.001	242200	S 26
242.6	0.001	242600	S 30
244	0.001	244000	S 40
244.916	0.001	244916	S 45
245.516	0.001	245516	S 50
247.417	0.001	247417	S  1
248.5	0.001	248500	S 12
249	0.001	249000	S 10
250.4	0.001	250400	S 26
250.8	0.001	250800	S 30
252.2	0.001	252200	S 40
253.083	0.001	253083	S 45
253.683	0.001	253683	S 50
254.3	0.001	254300	S 50
255.667	0.001	255667	S  1
256.7	0.001	256700	S 12
257.2	0.001	257200	S 10
258.6	0.001	258600	S 26
259	0.001	259000	S 30
260.4	0.001	260400	S 40
260.867	0.001	260867	S 45
261.467	0.001	261467	S 50
262.417	0.001	262417	S 50
263.684	0.001	263684	S  1
264.9	0.001	264900	S 11
265.4	0.001	265400	S 10
266.8	0.001	266800	S 26
267.2	0.001	267200	S 30
268.6	0.001	268600	S 40
269.1	0.001	269100	S 45
269.7	0.001	269700	S 50
270.517	0.001	270517	S  1
270.649	0.001	270649	S 45
271.249	0.001	271249	S 50
272.066	0.001	272066	S  1
273.1	0.001	273100	S 12
273.599	0.001	273599	S 10
274.999	0.001	274999	S 26
275.399	0.001	275399	S 30
276.799	0.001	276799	S 40
277.666	0.001	277666	S 45
278.266	0.001	278266	S 50
279.9	0.001	279900	S  1
281.3	0.001	281300	S 12
281.8	0.001	281800	S 10
283.2	0.001	283200	S 26
283.6	0.001	283600	S 30
285	0.001	285000	S 40
285.699	0.001	285699	S 45
286.3	0.001	286300	S 50
288.35	0.001	288350	S  1
289.5	0.001	289500	S 11
290	0.001	290000	S 10
291.4	0.001	291400	S 26
291.8	0.001	291800	S 30
293.2	0.001	293200	S 40
293.85	0.001	293850	S 45
294.45	0.001	294450	S 50
296.25	0.001	296250	S  1
297.7	0.001	297700	S 12
298.2	0.001	298200	S 10
299.6	0.001	299600	S 26
300	0.001	300000	S 30
301.4	0.001	301400	S 40
302.084	0.001	302084	S 45
302.684	0.001	302684	S 50
303.517	0.001	303517	S 50
304.4	0.001	304400	S  1
305.9	0.001	305900	S 11
306.4	0.001	306400	S 10
307.8	0.001	307800	S 26
308.2	0.001	308200	S 30
309.6	0.001	309600	S 40
310.167	0.001	310167	S 45
310.767	0.001	310767	S 50
312.617	0.001	312617	S  1
314.1	0.001	314100	S 12
314.6	0.001	314600	S 10
316	0.001	316000	S 26
316.4	0.001	316400	S 30
317.8	0.001	317800	S 40
319.734	0.001	319734	S 45
320.917	0.001	320917	S  1
322.3	0.001	322300	S 12
322.8	0.001	322800	S 10
