onset	duration	sample	value
1.373	0.001	1373	S  2
2.5	0.001	2500	S 22
3	0.001	3000	S 10
4.4	0.001	4400	S 27
4.8	0.001	4800	S 30
6.2	0.001	6200	S 40
7.533	0.001	7533	S 45
8.133	0.001	8133	S 50
8.7	0.001	8700	S 50
9.667	0.001	9667	S  2
10.7	0.001	10700	S 21
11.2	0.001	11200	S 10
12.6	0.001	12600	S 27
13	0.001	13000	S 30
14.4	0.001	14400	S 40
15.983	0.001	15983	S 45
17.717	0.001	17717	S  2
18.9	0.001	18900	S 21
19.4	0.001	19400	S 10
20.8	0.001	20800	S 27
21.2	0.001	21200	S 30
22.6	0.001	22600	S 40
23.884	0.001	23884	S 45
24.484	0.001	24484	S 50
24.7	0.001	24700	S 45
25.3	0.001	25300	S 50
26.016	0.001	26016	S  2
27.1	0.001	27100	S 22
27.6	0.001	27600	S 10
29	0.001	29000	S 27
29.4	0.001	29400	S 30
30.8	0.001	30800	S 40
32.45	0.001	32450	S 45
33.95	0.001	33950	S  2
35.3	0.001	35300	S 21
35.8	0.001	35800	S 10
37.2	0.001	37200	S 27
37.6	0.001	37600	S 30
39	0.001	39000	S 40
40.066	0.001	40066	S 45
40.666	0.001	40666	S 50
42.049	0.001	42049	S  2
43.5	0.001	43500	S 21
43.999	0.001	43999	S 10
45.399	0.001	45399	S 27
45.799	0.001	45799	S 30
47.199	0.001	47199	S 40
48.249	0.001	48249	S 45
48.849	0.001	48849	S 50
49.783	0.001	49783	S 50
50.5	0.001	50500	S  2
51.7	0.001	51700	S 21
52.2	0.001	52200	S 10
53.6	0.001	53600	S 27
54	0.001	54000	S 30
55.4	0.001	55400	S 40
57.533	0.001	57533	S 50
58.8	0.001	58800	S  2
59.9	0.001	59900	S 22
60.4	0.001	60400	S 10
61.8	0.001	61800	S 27
62.2	0.001	62200	S 30
63.6	0.001	63600	S 40
64.633	0.001	64633	S 45
65.233	0.001	65233	S 50
66.817	0.001	66817	S  2
68.1	0.001	68100	S 22
68.6	0.001	68600	S 10
70	0.001	70000	S 27
70.4	0.001	70400	S 30
71.8	0.001	71800	S 40
73.417	0.001	73417	S 45
73.967	0.001	73967	S 45
74.567	0.001	74567	S 50
75.233	0.001	75233	S  2
76.3	0.001	76300	S 21
76.8	0.001	76800	S 10
78.2	0.001	78200	S 27
78.6	0.001	78600	S 30
80	0.001	80000	S 40
81.517	0.001	81517	S 45
82.2	0.001	82200	S 50
83.25	0.001	83250	S  2
84.5	0.001	84500	S 21
85	0.001	85000	S 10
86.4	0.001	86400	S 27
86.8	0.001	86800	S 30
88.2	0.001	88200	S 40
89.316	0.001	89316	S 45
89.916	0.001	89916	S 50
90.533	0.001	90533	S 50
91.2	0.001	91200	S  2
92.7	0.001	92700	S 21
93.2	0.001	93200	S 10
94.6	0.001	94600	S 27
95	0.001	95000	S 30
96.4	0.001	96400	S 40
97.333	0.001	97333	S 45
97.933	0.001	97933	S 50
99.617	0.001	99617	S  2
100.9	0.001	100900	S 21
101.4	0.001	101400	S 10
102.8	0.001	102800	S 27
103.2	0.001	103200	S 30
104.6	0.001	104600	S 40
105.934	0.001	105934	S 45
106.534	0.001	106534	S 50
108.084	0.001	108084	S  2
109.1	0.001	109100	S 21
109.6	0.001	109600	S 10
111	0.001	111000	S 27
111.4	0.001	111400	S 30
112.8	0.001	112800	S 40
113.917	0.001	113917	S 45
114.517	0.001	114517	S 50
115.3	0.001	115300	S 50
115.933	0.001	115933	S  2
117.3	0.001	117300	S 21
117.8	0.001	117800	S 10
119.2	0.001	119200	S 27
119.6	0.001	119600	S 30
121	0.001	121000	S 40
122.1	0.001	122100	S 45
122.7	0.001	122700	S 50
124.117	0.001	124117	S  2
125.5	0.001	125500	S 22
126	0.001	126000	S 10
127.4	0.001	127400	S 27
127.8	0.001	127800	S 30
129.2	0.001	129200	S 40
130.166	0.001	130166	S 45
130.766	0.001	130766	S 50
131.616	0.001	131616	S 50
132.516	0.001	132516	S  2
133.7	0.001	133700	S 22
134.2	0.001	134200	S 10
135.6	0.001	135600	S 27
136	0.001	136000	S 30
137.4	0.001	137400	S 40
139.25	0.001	139250	S 45
140.683	0.001	140683	S  2
141.9	0.001	141900	S 22
142.4	0.001	142400	S 10
143.8	0.001	143800	S 27
144.2	0.001	144200	S 30
145.6	0.001	145600	S 40
146.566	0.001	146566	S 45
147.166	0.001	147166	S 50
148.7	0.001	148700	S  2
