onset	duration	sample	value
1.14	0.001	1140	S  1
2.5	0.001	2500	S 11
2.996	0.001	2996	S 10
4.402	0.001	4402	S 26
4.798	0.001	4798	S 30
6.202	0.001	6202	S 40
7.267	0.001	7267	S 45
7.868	0.001	7868	S 50
9.252	0.001	9252	S  1
10.7	0.001	10700	S 11
11.195	0.001	11195	S 10
12.602	0.001	12602	S 26
12.998	0.001	12998	S 30
14.402	0.001	14402	S 40
15.185	0.001	15185	S 45
15.785	0.001	15785	S 50
16.475	0.001	16475	S 45
17.075	0.001	17075	S 50
17.903	0.001	17903	S  1
18.9	0.001	18900	S 12
19.396	0.001	19396	S 10
20.794	0.001	20794	S 26
21.19	0.001	21190	S 30
22.592	0.001	22592	S 40
23.925	0.001	23925	S 45
24.525	0.001	24525	S 50
25.003	0.001	25003	S 50
25.789	0.001	25789	S  1
27.1	0.001	27100	S 11
27.596	0.001	27596	S 10
29.003	0.001	29003	S 26
29.399	0.001	29399	S 30
30.803	0.001	30803	S 40
31.437	0.001	31437	S 45
32.037	0.001	32037	S 50
32.654	0.001	32654	S  1
32.908	0.001	32908	S 45
33.508	0.001	33508	S 50
34.125	0.001	34125	S  1
35.3	0.001	35300	S 12
35.796	0.001	35796	S 10
37.208	0.001	37208	S 26
37.604	0.001	37604	S 30
39.008	0.001	39008	S 40
40.174	0.001	40174	S 45
40.775	0.001	40775	S 50
41.252	0.001	41252	S 50
42.105	0.001	42105	S  1
43.5	0.001	43500	S 11
43.995	0.001	43995	S 10
45.401	0.001	45401	S 26
45.797	0.001	45797	S 30
47.201	0.001	47201	S 40
47.801	0.001	47801	S 45
48.401	0.001	48401	S 50
49.193	0.001	49193	S  1
49.598	0.001	49598	S 50
50.39	0.001	50390	S  1
51.7	0.001	51700	S 11
52.196	0.001	52196	S 10
53.598	0.001	53598	S 26
53.994	0.001	53994	S 30
55.398	0.001	55398	S 40
56.281	0.001	56281	S 45
56.881	0.001	56881	S 50
58.811	0.001	58811	S  1
59.9	0.001	59900	S 11
60.396	0.001	60396	S 10
61.793	0.001	61793	S 26
62.189	0.001	62189	S 30
63.595	0.001	63595	S 40
64.345	0.001	64345	S 45
64.945	0.001	64945	S 50
65.767	0.001	65767	S 45
66.367	0.001	66367	S 50
67.062	0.001	67062	S  1
68.1	0.001	68100	S 12
68.596	0.001	68596	S 10
70	0.001	70000	S 26
70.396	0.001	70396	S 30
71.8	0.001	71800	S 40
72.448	0.001	72448	S 45
73.05	0.001	73050	S 50
74.259	0.001	74259	S 50
75.279	0.001	75279	S  1
76.3	0.001	76300	S 12
76.796	0.001	76796	S 10
78.195	0.001	78195	S 26
78.591	0.001	78591	S 30
79.992	0.001	79992	S 40
80.775	0.001	80775	S 45
81.376	0.001	81376	S 50
82.374	0.001	82374	S 50
83.221	0.001	83221	S  1
84.5	0.001	84500	S 11
84.996	0.001	84996	S 10
86.407	0.001	86407	S 26
86.803	0.001	86803	S 30
88.207	0.001	88207	S 40
89.322	0.001	89322	S 45
89.924	0.001	89924	S 50
91.364	0.001	91364	S  1
92.7	0.001	92700	S 12
93.196	0.001	93196	S 10
94.598	0.001	94598	S 26
94.994	0.001	94994	S 30
